ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037106114,5880,San Fernando,-118.4268073,34.3023558,36.91,72,70-75%,0.057,11.21,12.23,672.82,0,535.2,1616.57,2.85,0,0.37,0,0.5,46.35,43.35,6.76,4.03,38.1,14.6,54.6,10.1,37.3,62.33,17,76.7,6.3,84.9,7.5,3.6,0.4,2.3,1.3,8,15,365285,209,Las Casas
06037106403,3825,Sylmar,-118.4412741,34.3060186,28.68,57,55-60%,0.06,11.21,10.74,672.41,0,548.91,732.97,0.25,0,0.05,0,0,36.93,56.71,5.51,6.94,41.5,12.6,47.7,9.5,18,60.81,15,77.6,7.4,88.9,7.7,1.2,0.1,1.3,0.8,6,12,177976,100,Urban Villages
06037106405,3966,Sylmar,-118.4482929,34.3146809,32.53,64,60-65%,0.06,11.21,10.74,618.05,0,505.95,931.65,0.25,1.5,0.28,0,0,40.41,64.44,3.6,8.17,37,17.1,45.9,10.7,35.6,63.02,16.3,78.3,5.4,79.8,10.1,5.9,0.3,3.3,0.7,7,13,297848,119,Urban Villages
06037106406,4962,Sylmar,-118.4590006,34.3228508,30.49,60,60-65%,0.06,11.21,19.77,586.32,0,455.84,905.39,0.25,1.5,0.26,0,0,42.14,64.44,6.33,8.17,18.8,5.2,28.1,5.8,19.9,56.64,14.5,75.2,10.3,70.8,18.8,2.6,0.6,6.1,1,7,13,441406,157,Urban Villages
06037106407,2933,Sylmar,-118.4365572,34.3105742,31.21,62,60-65%,0.06,11.21,10.74,618.05,0,525.52,1481.91,0,0,0.01,0,0,37.36,64.44,4.97,8.17,35.4,15.7,62.1,5.5,34.9,65.41,16.5,67.2,16.3,76.2,14,6.4,0.1,2.5,0.8,7,13,226508,85,Fresh Ambitions
06037106408,3463,Sylmar,-118.4400777,34.3132613,29.85,59,55-60%,0.06,11.21,10.74,618.05,0,511.1,1166.39,0,0,0,0,0,35.95,64.44,3.61,8.17,41.1,15.2,64.1,12.8,26.8,64.99,19.8,76.9,3.3,86.8,4.5,3.3,0.1,4.3,1,6,12,208892,107,Las Casas
06037106510,5108,Sylmar,-118.4795847,34.326405,43.94,81,80-85%,0.062,10.79,37.1,620.22,0,427.79,2476.29,2.25,6,0.66,0,6,57.9,64.44,6.02,8.17,19.1,9.9,18.7,10.2,18.8,59.41,13.2,79.4,7.4,63.8,20.1,6.8,0.3,7.4,1.6,9,17,506044,141,Urban Villages
06037106520,5837,Sylmar,-118.4613524,34.3088574,39.9,76,75-80%,0.06,11.21,20.14,618.05,0,751.01,535.64,1,15.3,2.36,0,0.75,48.78,64.44,5.67,8.17,36.9,12.5,39,8,21.1,64.03,15.4,75.3,9.3,85.4,11.3,1.1,0.3,1.2,0.6,8,16,359873,148,Urban Villages
06037106603,2979,Granada Hills,-118.5244831,34.3123662,28.24,57,55-60%,0.062,10.37,10.05,826.54,0,380.27,3209.36,2,0,0.22,3,16,54.04,46.16,5.51,6.64,6.9,4.7,11.4,8.6,16.9,40.91,9.2,74.7,16.1,15.9,55.8,3.2,0.2,20,4.8,6,12,476448,102,Savvy Suburbanites
06037106604,5020,Sylmar,-118.4745764,34.3033292,43.68,81,80-85%,0.06,10.79,32.83,616.74,0,477.18,3298.56,1.15,9,3.65,0,6.75,58.15,64.44,4.38,8.17,31.5,14.3,47,6.5,23.4,58.81,16.6,75.2,8.2,85.4,8,2.1,0.4,3.6,0.5,9,17,351448,182,Las Casas
06037106641,2317,Granada Hills,-118.5084331,34.2984691,18.22,34,30-35%,0.06,10.37,19.08,618.05,0,410.56,1412.96,0,0,0.05,1,0,40.38,53.41,4,7.65,4.3,6.1,6.7,9.4,11.6,35.32,9.3,73.7,17,13,65.5,2.4,0.3,15.6,3.3,4,7,428683,84,Exurbanites
06037106642,3236,Granada Hills,-118.5070136,34.2863224,27.4,55,50-55%,0.06,10.37,19.95,618.05,0,419.6,2440.45,0,0,0.02,1,0.3,41.99,53.41,7.05,7.65,5.1,6.6,7.2,10.5,18.7,51.08,10.5,72.8,16.7,22.3,58.6,3.5,0.1,12.6,2.8,6,11,488316,119,Pleasantville
06037106643,4320,Granada Hills,-118.5220166,34.2894537,16.39,29,25-30%,0.06,10.37,14.34,618.05,0,395.32,3198.51,0,0,0.01,3,0,41.06,51.4,3.7,7.41,8.3,2.5,11.7,5.9,13.7,31.25,8.8,77.9,13.3,13.5,62.6,2.9,0.1,18.1,2.8,3,6,847889,153,Top Tier
06037106645,3389,Granada Hills,-118.4941725,34.2905628,24.79,49,45-50%,0.06,10.79,24.48,616.31,0,436.59,1137.6,0,0,0.05,1,3.75,45.38,53.41,4.97,7.65,3,7.6,20.8,8.2,15,42.76,9.6,68.5,21.9,16.1,63.5,3.4,0.1,14,3,5,10,583284,121,Exurbanites
06037106646,3237,Granada Hills,-118.4939447,34.2797379,31.06,61,60-65%,0.06,10.79,22.91,618.05,0,447.17,2565.52,0,0,0.02,1,1.8,45.17,53.41,6.44,7.65,15.9,1.4,20.9,11.7,20.3,53.83,10.8,73.1,16.1,34.2,42.4,3.5,0.1,17,2.9,7,13,408294,118,Pleasantville
