ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037800204,6740,Calabasas,-118.6661486,34.1466066,21.08,41,40-45%,0.055,10.37,10.94,513.66,0.136,366.29,3267.27,0,33,0.3,15,1.75,55.82,6.87,22.78,4.42,6.28,5.3,7.4,20.9,7.7,15.2,3.07,9,68.8,22.2,5.5,81.8,1.2,0.1,7.7,3.8,5,9,1792117,248,Top Tier
06037800324,6664,Agoura Hills,-118.7795834,34.1504051,11.04,15,15-20%,0.051,9.54,12.17,225.79,0.019,105.31,1533.65,2.25,9.75,0.25,13,0.25,43.43,5.35,19.43,4.46,6.36,2.8,0,9,6.9,14.7,2.06,11.9,76.9,11.2,7.6,79.3,1.4,0.2,8.8,2.8,2,4,1432698,199,Savvy Suburbanites
06037800325,3407,Westlake Village,-118.8174173,34.1447221,10.97,15,15-20%,0.051,9.54,9.29,343.38,0,116.98,742.51,4.5,41.5,0,8,0,37.86,4.66,16.39,4.35,6.83,1.6,1.2,15.5,7.2,16.8,2.35,7.8,64,28.2,6.2,86.3,1.3,0.2,3.7,2.3,2,4,806375,123,Exurbanites
06037800326,4972,Agoura Hills,-118.8124276,34.1237813,6.88,6,5-10%,0.051,9.54,5.48,364.08,0.618,114.11,658.71,2.25,24,0.11,18,0.7,43.91,5.41,9.91,2.62,3.82,2.3,4.2,11.8,7.3,13,1.27,8.8,74.2,17,7.8,82.7,0.8,0.1,6.4,2.1,1,2,1279491,175,Urban Chic
06037800327,5305,Agoura Hills,-118.7424224,34.1602091,24.3,48,45-50%,0.053,9.54,7.08,427.71,0.026,101.05,1689.59,0,0,0,8,5.25,38.88,4.79,21.17,5.83,7.14,12.4,,26.5,10.2,29.3,5.07,10.7,78.3,11,16.4,71.9,1.9,0.1,6.7,3,5,10,1028041,185,Enterprising Professionals
06037800328,2640,Agoura Hills,-118.7172726,34.153247,21.45,42,40-45%,0.053,9.96,3.38,225.79,0.007,145.35,2886.32,7,0.75,0.15,9,7.2,44.88,5.53,18.44,8,6.16,4.1,5,16.2,6.1,22.3,3.88,10.6,81.1,8.3,8.9,75.6,2.4,0.2,9.4,3.6,5,9,517200,90,Enterprising Professionals
06037800329,6421,Agoura Hills,-118.7391708,34.1211218,14.92,25,20-25%,0.053,9.96,7.24,225.79,0.044,155.81,1209.81,1.75,5,0.05,15,9,44.08,5.43,18.88,6.02,6.34,2.2,2.1,12,5.6,13.8,2.75,11.5,80.5,8,8.4,76.7,1.9,0.2,8.7,4,3,5,1340506,220,Urban Chic
06037800330,942,Agoura Hills,-118.738967,34.0874944,5.78,4,1-5% (lowest scores),0.051,9.96,1.78,225.79,0.296,173.79,303.28,0,0,0,15,4,31.07,3.83,3.98,,1.41,2,2.5,20.8,11.1,,1.51,9.6,77.9,12.5,6.6,89.4,1,0.3,1,1.8,1,1,224351,32,Urban Chic
06037800331,766,Thousand Oaks,-118.7998264,34.1572716,10.49,14,10-15%,0.051,9.54,6.42,341.49,0.056,106.19,1031.27,10,8.5,0.16,12,0.5,44.41,5.47,24.38,,6.31,3.2,1.9,10.3,7.2,,1.92,10.3,78.7,11,10.2,72.2,3,0,10.1,4.6,2,3,126302,25,Top Tier
06037800332,6665,Agoura Hills,-118.773167,34.1610356,6.9,6,5-10%,0.051,9.54,4.39,433.48,0.074,98.71,376.91,1,0,0.04,13,0,30.45,3.75,19.08,4.57,6.37,1.2,3.1,8.1,5.5,6.7,1.84,9.9,78.5,11.6,6.1,82.9,0.5,0,7.4,3,1,2,1565706,214,Top Tier
