OBJECTID,Ozone Pctl,PM 2.5 Pctl,Diesel PM Pctl,DrinkingWater Pctl,Pesticides Pctl,Tox Releases Pctl,GroundWater Threats Pctl,Asthma,Asthma Pctl,Cardiovascular Pctl,Education Pctl,Poverty Pctl,Children < 10 (%),Elderly > 65 (%),Hispanic (%),White (%),Asian American (%),Other (%),Shape_Length,Shape_Area
379,74,82,64,70,0,64,71,23.95,14,39,7,23,4.5,6.3,12.9,61.3,11.9,4.4,5088.00366,819844.2
380,69,82,64,71,0,65,34,14.08,3,9,3,10,7.9,13.6,7.1,78.1,7.1,3.5,13003.1409,4962180.917
381,69,82,47,66,0,63,44,23.66,14,40,2,9,10.3,14.9,7.3,79,6.4,3.4,13317.82572,3811594.167
382,69,82,27,70,4,63,2,15.08,3,9,18,9,12.6,16,6,83,5.9,3.5,15466.14694,7741068.105
383,69,82,26,70,0,62,44,13.73,2,7,1,2,10.7,13.4,7.3,81.3,5.3,2.8,12575.31355,3696804.707
384,69,69,60,53,0,70,23,46.03,51,48,33,17,9.8,19,27.6,41.7,25.9,3,13917.1003,6055742.261
385,65,82,67,45,0,69,22,35.57,34,15,39,18,10.2,16,33.3,31.6,30,2.7,7865.148253,2106551.919
386,65,82,67,79,0,70,2,53.64,61,30,42,48,10.3,14.9,35,30.3,30,3.2,8044.771782,1969593.572
387,65,82,67,46,0,71,74,61.39,71,41,86,88,16.5,6.9,73.5,12.6,10,1.3,6571.308066,1695627.883
388,65,84,67,19,0,72,76,69.42,78,47,90,82,17.7,8.2,82.7,3.2,12.6,0.9,6596.976037,1404728.82
389,65,84,76,45,0,72,69,61.18,70,65,50,42,9.2,15.2,45.1,26.3,24.4,2.7,4765.867663,1148380.867
390,61,84,80,46,0,74,92,61.04,70,64,62,59,11,11.6,60,16,21.1,1.3,14136.45314,3206228.716
391,61,93,82,71,0,74,72,56.06,64,55,85,81,12.4,9.6,76.3,8.9,12.2,1.5,5759.79812,1386589.094
392,61,93,84,71,0,74,6,61.33,70,65,30,23,10,10,23.4,51,18.8,3.9,7119.644431,1708767.15
